doy	hr	d18oPrecip	2H	d18oVapour
5	16.5	-8.19	-10.0	-19.65
5	17.5	-8.20	-10.0	-19.65
5	18.5	-8.21	-10.0	-19.65
5	19.5	-8.22	-10.0	-19.65
5	20.5	-8.23	-10.0	-19.65
5	21.5	-8.23	-10.0	-19.65
5	22.5	-8.24	-10.0	-19.64
5	23.5	-8.25	-10.0	-19.64
6	0.5	-8.26	-10.0	-19.64
6	1.5	-8.27	-10.0	-19.64
6	2.5	-8.28	-10.0	-19.64
6	3.5	-8.28	-10.0	-19.64
6	4.5	-8.29	-10.0	-19.64
6	5.5	-8.30	-10.0	-19.64
6	6.5	-8.31	-10.0	-19.64
6	7.5	-8.32	-10.0	-19.63
6	8.5	-8.33	-10.0	-19.63
6	9.5	-8.34	-10.0	-19.63
6	10.5	-8.34	-10.0	-19.63
6	11.5	-8.35	-10.0	-19.63
6	12.5	-8.36	-10.0	-19.63
6	13.5	-8.37	-10.0	-19.63
6	14.5	-8.38	-10.0	-19.63
6	15.5	-8.39	-10.0	-19.63
6	16.5	-8.39	-10.0	-19.63
6	17.5	-8.40	-10.0	-19.62
6	18.5	-8.41	-10.0	-19.62
6	19.5	-8.42	-10.0	-19.62
6	20.5	-8.43	-10.0	-19.62
6	21.5	-8.44	-10.0	-19.62
6	22.5	-8.44	-10.0	-19.62
6	23.5	-8.45	-10.0	-19.62
7	0.5	-8.46	-10.0	-19.62
7	1.5	-8.47	-10.0	-19.62
7	2.5	-8.48	-10.0	-19.62
7	3.5	-8.49	-10.0	-19.61
7	4.5	-8.49	-10.0	-19.61
7	5.5	-8.50	-10.0	-19.61
7	6.5	-8.51	-10.0	-19.61
7	7.5	-8.52	-10.0	-19.61
7	8.5	-8.53	-10.0	-19.61
7	9.5	-8.54	-10.0	-19.61
7	10.5	-8.54	-10.0	-19.61
7	11.5	-8.55	-10.0	-19.61
7	12.5	-8.56	-10.0	-19.60
7	13.5	-8.57	-10.0	-19.60
7	14.5	-8.58	-10.0	-19.60
7	15.5	-8.59	-10.0	-19.60
7	16.5	-8.59	-10.0	-19.60
7	17.5	-8.60	-10.0	-19.60
7	18.5	-8.61	-10.0	-19.60
7	19.5	-8.62	-10.0	-19.60
7	20.5	-8.63	-10.0	-19.60
7	21.5	-8.64	-10.0	-19.60
7	22.5	-8.64	-10.0	-19.59
7	23.5	-8.65	-10.0	-19.59
8	0.5	-8.66	-10.0	-19.59
8	1.5	-8.67	-10.0	-19.59
8	2.5	-8.68	-10.0	-19.59
8	3.5	-8.69	-10.0	-19.59
8	4.5	-8.69	-10.0	-19.59
8	5.5	-8.70	-10.0	-19.59
8	6.5	-8.71	-10.0	-19.59
8	7.5	-8.72	-10.0	-19.58
8	8.5	-8.73	-10.0	-19.58
8	9.5	-8.74	-10.0	-19.58
8	10.5	-8.74	-10.0	-19.58
8	11.5	-8.75	-10.0	-19.58
8	12.5	-8.76	-10.0	-19.58
8	13.5	-8.77	-10.0	-19.58
8	14.5	-8.78	-10.0	-19.58
8	15.5	-8.79	-10.0	-19.58
8	16.5	-8.79	-10.0	-19.58
8	17.5	-8.80	-10.0	-19.57
8	18.5	-8.81	-10.0	-19.57
8	19.5	-8.82	-10.0	-19.57
8	20.5	-8.83	-10.0	-19.57
8	21.5	-8.84	-10.0	-19.57
8	22.5	-8.84	-10.0	-19.57
8	23.5	-8.85	-10.0	-19.57
9	0.5	-8.86	-10.0	-19.57
9	1.5	-8.87	-10.0	-19.57
9	2.5	-8.88	-10.0	-19.57
9	3.5	-8.89	-10.0	-19.56
9	4.5	-8.89	-10.0	-19.56
9	5.5	-8.90	-10.0	-19.56
9	6.5	-8.91	-10.0	-19.56
9	7.5	-8.92	-10.0	-19.56
9	8.5	-8.93	-10.0	-19.56
9	9.5	-8.94	-10.0	-19.56
9	10.5	-8.94	-10.0	-19.56
9	11.5	-8.95	-10.0	-19.56
9	12.5	-8.96	-10.0	-19.55
9	13.5	-8.97	-10.0	-19.55
9	14.5	-8.98	-10.0	-19.55
9	15.5	-8.99	-10.0	-19.55
9	16.5	-9.00	-10.0	-19.55
9	17.5	-9.00	-10.0	-19.55
9	18.5	-9.01	-10.0	-19.55
9	19.5	-9.02	-10.0	-19.55
9	20.5	-9.03	-10.0	-19.55
9	21.5	-9.04	-10.0	-19.55
9	22.5	-9.05	-10.0	-19.54
9	23.5	-9.05	-10.0	-19.54
10	0.5	-9.06	-10.0	-19.54
10	1.5	-9.07	-10.0	-19.54
10	2.5	-9.08	-10.0	-19.54
10	3.5	-9.09	-10.0	-19.54
10	4.5	-9.10	-10.0	-19.54
10	5.5	-9.10	-10.0	-19.54
10	6.5	-9.11	-10.0	-19.54
10	7.5	-9.12	-10.0	-19.54
10	8.5	-9.13	-10.0	-19.53
10	9.5	-9.14	-10.0	-19.53
10	10.5	-9.15	-10.0	-19.53
10	11.5	-9.15	-10.0	-19.53
10	12.5	-9.16	-10.0	-19.53
10	13.5	-9.17	-10.0	-19.53
10	14.5	-9.18	-10.0	-19.53
10	15.5	-9.19	-10.0	-19.53
10	16.5	-9.20	-10.0	-19.53
10	17.5	-9.20	-10.0	-19.52
10	18.5	-9.21	-10.0	-19.52
10	19.5	-9.22	-10.0	-19.52
10	20.5	-9.23	-10.0	-19.52
10	21.5	-9.24	-10.0	-19.52
10	22.5	-9.25	-10.0	-19.52
10	23.5	-9.25	-10.0	-19.52
11	0.5	-9.26	-10.0	-19.52
11	1.5	-9.27	-10.0	-19.52
11	2.5	-9.28	-10.0	-19.52
11	3.5	-9.29	-10.0	-19.51
11	4.5	-9.30	-10.0	-19.51
11	5.5	-9.30	-10.0	-19.51
11	6.5	-9.31	-10.0	-19.51
11	7.5	-9.32	-10.0	-19.51
11	8.5	-9.33	-10.0	-19.51
11	9.5	-9.34	-10.0	-19.51
11	10.5	-9.35	-10.0	-19.51
11	11.5	-9.35	-10.0	-19.51
11	12.5	-9.36	-10.0	-19.50
11	13.5	-9.37	-10.0	-19.50
11	14.5	-9.38	-10.0	-19.50
11	15.5	-9.39	-10.0	-19.50
11	16.5	-9.40	-10.0	-19.50
11	17.5	-9.40	-10.0	-19.50
11	18.5	-9.41	-10.0	-19.50
11	19.5	-9.42	-10.0	-19.50
11	20.5	-9.43	-10.0	-19.50
11	21.5	-9.44	-10.0	-19.50
11	22.5	-9.45	-10.0	-19.49
11	23.5	-9.45	-10.0	-19.49
12	0.5	-9.46	-10.0	-19.49
12	1.5	-9.47	-10.0	-19.49
12	2.5	-9.48	-10.0	-19.49
12	3.5	-9.49	-10.0	-19.49
12	4.5	-9.50	-10.0	-19.49
12	5.5	-9.50	-10.0	-19.49
12	6.5	-9.51	-10.0	-19.49
12	7.5	-9.52	-10.0	-19.49
12	8.5	-9.53	-10.0	-19.48
12	9.5	-9.54	-10.0	-19.48
12	10.5	-9.55	-10.0	-19.48
12	11.5	-9.55	-10.0	-19.48
12	12.5	-9.56	-10.0	-19.48
12	13.5	-9.57	-10.0	-19.48
12	14.5	-9.58	-10.0	-19.48
12	15.5	-9.59	-10.0	-19.48
12	16.5	-9.60	-10.0	-19.48
12	17.5	-9.60	-10.0	-19.47
12	18.5	-9.61	-10.0	-19.47
12	19.5	-9.62	-10.0	-19.47
12	20.5	-9.63	-10.0	-19.47
12	21.5	-9.64	-10.0	-19.47
12	22.5	-9.65	-10.0	-19.47
12	23.5	-9.66	-10.0	-19.47
13	0.5	-9.66	-10.0	-19.47
13	1.5	-9.67	-10.0	-19.47
13	2.5	-9.68	-10.0	-19.47
13	3.5	-9.69	-10.0	-19.46
13	4.5	-9.70	-10.0	-19.46
13	5.5	-9.71	-10.0	-19.46
13	6.5	-9.71	-10.0	-19.46
13	7.5	-9.72	-10.0	-19.46
13	8.5	-9.73	-10.0	-19.46
13	9.5	-9.74	-10.0	-19.46
13	10.5	-9.75	-10.0	-19.46
13	11.5	-9.76	-10.0	-19.46
13	12.5	-9.76	-10.0	-19.46
13	13.5	-9.77	-10.0	-19.45
13	14.5	-9.78	-10.0	-19.45
13	15.5	-9.79	-10.0	-19.45
13	16.5	-9.80	-10.0	-19.45
13	17.5	-9.81	-10.0	-19.45
13	18.5	-9.81	-10.0	-19.45
13	19.5	-9.82	-10.0	-19.45
13	20.5	-9.83	-10.0	-19.45
13	21.5	-9.84	-10.0	-19.45
13	22.5	-9.85	-10.0	-19.44
13	23.5	-9.86	-10.0	-19.44
14	0.5	-9.86	-10.0	-19.44
14	1.5	-9.87	-10.0	-19.44
14	2.5	-9.88	-10.0	-19.44
14	3.5	-9.89	-10.0	-19.44
14	4.5	-9.90	-10.0	-19.44
14	5.5	-9.91	-10.0	-19.44
14	6.5	-9.91	-10.0	-19.44
14	7.5	-9.92	-10.0	-19.44
14	8.5	-9.93	-10.0	-19.43
14	9.5	-9.94	-10.0	-19.43
14	10.5	-9.95	-10.0	-19.43
14	11.5	-9.96	-10.0	-19.43
14	12.5	-9.96	-10.0	-19.43
14	13.5	-9.97	-10.0	-19.43
14	14.5	-9.98	-10.0	-19.43
14	15.5	-9.99	-10.0	-19.43
14	16.5	-10.00	-10.0	-19.43
14	17.5	-10.01	-10.0	-19.42
14	18.5	-10.01	-10.0	-19.42
14	19.5	-10.02	-10.0	-19.42
14	20.5	-10.03	-10.0	-19.42
14	21.5	-10.04	-10.0	-19.42
14	22.5	-10.05	-10.0	-19.42
14	23.5	-10.06	-10.0	-19.42
15	0.5	-10.06	-10.0	-19.42
15	1.5	-10.07	-10.0	-19.42
15	2.5	-10.08	-10.0	-19.42
15	3.5	-10.09	-10.0	-19.41
15	4.5	-10.10	-10.0	-19.41
15	5.5	-10.11	-10.0	-19.41
15	6.5	-10.11	-10.0	-19.41
15	7.5	-10.12	-10.0	-19.41
15	8.5	-10.13	-10.0	-19.41
15	9.5	-10.14	-10.0	-19.41
15	10.5	-10.15	-10.0	-19.41
15	11.5	-10.16	-10.0	-19.41
15	12.5	-10.16	-10.0	-19.41
15	13.5	-10.17	-10.0	-19.40
15	14.5	-10.18	-10.0	-19.40
15	15.5	-10.19	-10.0	-19.40
15	16.5	-10.20	-10.0	-19.40
15	17.5	-10.21	-10.0	-19.40
15	18.5	-10.21	-10.0	-19.40
15	19.5	-10.22	-10.0	-19.40
15	20.5	-10.23	-10.0	-19.40
15	21.5	-10.24	-10.0	-19.40
15	22.5	-10.25	-10.0	-19.39
15	23.5	-10.26	-10.0	-19.39
16	0.5	-10.26	-10.0	-19.39
16	1.5	-10.27	-10.0	-19.39
16	2.5	-10.28	-10.0	-19.39
16	3.5	-10.29	-10.0	-19.39
16	4.5	-10.30	-10.0	-19.39
16	5.5	-10.31	-10.0	-19.39
16	6.5	-10.31	-10.0	-19.39
16	7.5	-10.32	-10.0	-19.39
16	8.5	-10.33	-10.0	-19.38
16	9.5	-10.34	-10.0	-19.38
16	10.5	-10.35	-10.0	-19.38
16	11.5	-10.36	-10.0	-19.38
16	12.5	-10.37	-10.0	-19.38
16	13.5	-10.37	-10.0	-19.38
16	14.5	-10.38	-10.0	-19.38
16	15.5	-10.39	-10.0	-19.38
16	16.5	-10.40	-10.0	-19.38
16	17.5	-10.41	-10.0	-19.37
16	18.5	-10.42	-10.0	-19.37
16	19.5	-10.42	-10.0	-19.37
16	20.5	-10.43	-10.0	-19.37
16	21.5	-10.44	-10.0	-19.37
16	22.5	-10.45	-10.0	-19.37
16	23.5	-10.46	-10.0	-19.37
17	0.5	-10.47	-10.0	-19.37
17	1.5	-10.47	-10.0	-19.37
17	2.5	-10.48	-10.0	-19.37
17	3.5	-10.49	-10.0	-19.36
17	4.5	-10.50	-10.0	-19.36
17	5.5	-10.51	-10.0	-19.36
17	6.5	-10.52	-10.0	-19.36
17	7.5	-10.52	-10.0	-19.36
17	8.5	-10.53	-10.0	-19.36
17	9.5	-10.54	-10.0	-19.36
17	10.5	-10.55	-10.0	-19.36
17	11.5	-10.56	-10.0	-19.36
17	12.5	-10.57	-10.0	-19.36
17	13.5	-10.57	-10.0	-19.35
17	14.5	-10.58	-10.0	-19.35
17	15.5	-10.59	-10.0	-19.35
17	16.5	-10.60	-10.0	-19.35
17	17.5	-10.61	-10.0	-19.35
17	18.5	-10.62	-10.0	-19.35
17	19.5	-10.62	-10.0	-19.35
17	20.5	-10.63	-10.0	-19.35
17	21.5	-10.64	-10.0	-19.35
17	22.5	-10.65	-10.0	-19.34
17	23.5	-10.66	-10.0	-19.34
18	0.5	-10.67	-10.0	-19.34
18	1.5	-10.67	-10.0	-19.34
18	2.5	-10.68	-10.0	-19.34
18	3.5	-10.69	-10.0	-19.34
18	4.5	-10.70	-10.0	-19.34
18	5.5	-10.71	-10.0	-19.34
18	6.5	-10.72	-10.0	-19.34
18	7.5	-10.72	-10.0	-19.34
18	8.5	-10.73	-10.0	-19.33
18	9.5	-10.74	-10.0	-19.33
18	10.5	-10.75	-10.0	-19.33
18	11.5	-10.76	-10.0	-19.33
18	12.5	-10.77	-10.0	-19.33
18	13.5	-10.77	-10.0	-19.33
18	14.5	-10.78	-10.0	-19.33
18	15.5	-10.79	-10.0	-19.33
18	16.5	-10.80	-10.0	-19.33
18	17.5	-10.81	-10.0	-19.33
18	18.5	-10.82	-10.0	-19.32
18	19.5	-10.82	-10.0	-19.32
18	20.5	-10.83	-10.0	-19.32
18	21.5	-10.84	-10.0	-19.32
18	22.5	-10.85	-10.0	-19.32
18	23.5	-10.86	-10.0	-19.32
19	0.5	-10.87	-10.0	-19.32
19	1.5	-10.87	-10.0	-19.32
19	2.5	-10.88	-10.0	-19.32
19	3.5	-10.89	-10.0	-19.31
19	4.5	-10.90	-10.0	-19.31
19	5.5	-10.91	-10.0	-19.31
19	6.5	-10.92	-10.0	-19.31
19	7.5	-10.92	-10.0	-19.31
19	8.5	-10.93	-10.0	-19.31
19	9.5	-10.94	-10.0	-19.31
19	10.5	-10.95	-10.0	-19.31
19	11.5	-10.96	-10.0	-19.31
19	12.5	-10.97	-10.0	-19.31
19	13.5	-10.97	-10.0	-19.30
19	14.5	-10.98	-10.0	-19.30
19	15.5	-10.99	-10.0	-19.30
19	16.5	-11.00	-10.0	-19.30
19	17.5	-11.01	-10.0	-19.30
19	18.5	-11.02	-10.0	-19.30
19	19.5	-11.03	-10.0	-19.30
19	20.5	-11.03	-10.0	-19.30
19	21.5	-11.04	-10.0	-19.30
19	22.5	-11.05	-10.0	-19.29
19	23.5	-11.06	-10.0	-19.29
20	0.5	-11.07	-10.0	-19.29
20	1.5	-11.08	-10.0	-19.29
20	2.5	-11.08	-10.0	-19.29
20	3.5	-11.09	-10.0	-19.29
20	4.5	-11.10	-10.0	-19.29
20	5.5	-11.11	-10.0	-19.29
20	6.5	-11.12	-10.0	-19.29
20	7.5	-11.13	-10.0	-19.29
20	8.5	-11.13	-10.0	-19.28
20	9.5	-11.14	-10.0	-19.28
20	10.5	-11.15	-10.0	-19.28
20	11.5	-11.16	-10.0	-19.28
20	12.5	-11.17	-10.0	-19.28
20	13.5	-11.18	-10.0	-19.28
20	14.5	-11.18	-10.0	-19.28
20	15.5	-11.19	-10.0	-19.28
20	16.5	-11.20	-10.0	-19.28
20	17.5	-11.21	-10.0	-19.28
20	18.5	-11.22	-10.0	-19.27
20	19.5	-11.23	-10.0	-19.27
20	20.5	-11.23	-10.0	-19.27
20	21.5	-11.24	-10.0	-19.27
20	22.5	-11.25	-10.0	-19.27
20	23.5	-11.26	-10.0	-19.27
21	0.5	-11.27	-10.0	-19.27
21	1.5	-11.28	-10.0	-19.27
21	2.5	-11.28	-10.0	-19.27
21	3.5	-11.29	-10.0	-19.26
21	4.5	-11.30	-10.0	-19.26
21	5.5	-11.31	-10.0	-19.26
21	6.5	-11.32	-10.0	-19.26
21	7.5	-11.33	-10.0	-19.26
21	8.5	-11.33	-10.0	-19.26
21	9.5	-11.34	-10.0	-19.26
21	10.5	-11.35	-10.0	-19.26
21	11.5	-11.36	-10.0	-19.26
21	12.5	-11.37	-10.0	-19.26
21	13.5	-11.38	-10.0	-19.25
21	14.5	-11.38	-10.0	-19.25
21	15.5	-11.39	-10.0	-19.25
21	16.5	-11.40	-10.0	-19.25
21	17.5	-11.41	-10.0	-19.25
21	18.5	-11.42	-10.0	-19.25
21	19.5	-11.43	-10.0	-19.25
21	20.5	-11.43	-10.0	-19.25
21	21.5	-11.44	-10.0	-19.25
21	22.5	-11.45	-10.0	-19.24
21	23.5	-11.46	-10.0	-19.24
22	0.5	-11.47	-10.0	-19.24
22	1.5	-11.48	-10.0	-19.24
22	2.5	-11.48	-10.0	-19.24
22	3.5	-11.49	-10.0	-19.24
22	4.5	-11.50	-10.0	-19.24
22	5.5	-11.51	-10.0	-19.24
22	6.5	-11.52	-10.0	-19.24
22	7.5	-11.53	-10.0	-19.24
22	8.5	-11.53	-10.0	-19.23
22	9.5	-11.54	-10.0	-19.23
22	10.5	-11.55	-10.0	-19.23
22	11.5	-11.56	-10.0	-19.23
22	12.5	-11.57	-10.0	-19.23
22	13.5	-11.58	-10.0	-19.23
22	14.5	-11.58	-10.0	-19.23
22	15.5	-11.59	-10.0	-19.23
22	16.5	-11.60	-10.0	-19.23
22	17.5	-11.61	-10.0	-19.23
22	18.5	-11.62	-10.0	-19.22
22	19.5	-11.63	-10.0	-19.22
22	20.5	-11.63	-10.0	-19.22
22	21.5	-11.64	-10.0	-19.22
22	22.5	-11.65	-10.0	-19.22
22	23.5	-11.66	-10.0	-19.22
23	0.5	-11.67	-10.0	-19.22
23	1.5	-11.68	-10.0	-19.22
23	2.5	-11.68	-10.0	-19.22
23	3.5	-11.69	-10.0	-19.21
23	4.5	-11.70	-10.0	-19.21
23	5.5	-11.71	-10.0	-19.21
23	6.5	-11.72	-10.0	-19.21
23	7.5	-11.73	-10.0	-19.21
23	8.5	-11.74	-10.0	-19.21
23	9.5	-11.74	-10.0	-19.21
23	10.5	-11.75	-10.0	-19.21
23	11.5	-11.76	-10.0	-19.21
23	12.5	-11.77	-10.0	-19.21
23	13.5	-11.78	-10.0	-19.20
23	14.5	-11.79	-10.0	-19.20
23	15.5	-11.79	-10.0	-19.20
23	16.5	-11.80	-10.0	-19.20
23	17.5	-11.81	-10.0	-19.20
23	18.5	-11.82	-10.0	-19.20
23	19.5	-11.83	-10.0	-19.20
23	20.5	-11.84	-10.0	-19.20
23	21.5	-11.84	-10.0	-19.20
23	22.5	-11.85	-10.0	-19.20
23	23.5	-11.86	-10.0	-19.19
24	0.5	-11.87	-10.0	-19.19
24	1.5	-11.88	-10.0	-19.19
24	2.5	-11.89	-10.0	-19.19
24	3.5	-11.89	-10.0	-19.19
24	4.5	-11.90	-10.0	-19.19
24	5.5	-11.91	-10.0	-19.19
24	6.5	-11.92	-10.0	-19.19
24	7.5	-11.93	-10.0	-19.19
24	8.5	-11.94	-10.0	-19.18
24	9.5	-11.94	-10.0	-19.18
24	10.5	-11.95	-10.0	-19.18
24	11.5	-11.96	-10.0	-19.18
24	12.5	-11.97	-10.0	-19.18
24	13.5	-11.98	-10.0	-19.18
24	14.5	-11.99	-10.0	-19.18
24	15.5	-11.99	-10.0	-19.18
24	16.5	-12.00	-10.0	-19.18
24	17.5	-12.01	-10.0	-19.18
24	18.5	-12.02	-10.0	-19.17
24	19.5	-12.03	-10.0	-19.17
24	20.5	-12.04	-10.0	-19.17
24	21.5	-12.04	-10.0	-19.17
24	22.5	-12.05	-10.0	-19.17
24	23.5	-12.06	-10.0	-19.17
25	0.5	-12.07	-10.0	-19.17
25	1.5	-12.08	-10.0	-19.17
25	2.5	-12.09	-10.0	-19.17
25	3.5	-12.09	-10.0	-19.16
25	4.5	-12.10	-10.0	-19.16
25	5.5	-12.11	-10.0	-19.16
25	6.5	-12.12	-10.0	-19.16
25	7.5	-12.13	-10.0	-19.16
25	8.5	-12.14	-10.0	-19.16
25	9.5	-12.14	-10.0	-19.16
25	10.5	-12.15	-10.0	-19.16
25	11.5	-12.16	-10.0	-19.16
25	12.5	-12.16	-10.0	-19.16
25	13.5	-12.16	-10.0	-19.15
25	14.5	-12.15	-10.0	-19.15
25	15.5	-12.15	-10.0	-19.15
25	16.5	-12.15	-10.0	-19.15
25	17.5	-12.14	-10.0	-19.15
25	18.5	-12.14	-10.0	-19.15
25	19.5	-12.13	-10.0	-19.15
25	20.5	-12.13	-10.0	-19.15
25	21.5	-12.12	-10.0	-19.15
25	22.5	-12.12	-10.0	-19.15
25	23.5	-12.11	-10.0	-19.14
26	0.5	-12.11	-10.0	-19.14
26	1.5	-12.10	-10.0	-19.14
26	2.5	-12.10	-10.0	-19.14
26	3.5	-12.10	-10.0	-19.14
26	4.5	-12.09	-10.0	-19.14
26	5.5	-12.09	-10.0	-19.14
26	6.5	-12.08	-10.0	-19.14
26	7.5	-12.08	-10.0	-19.14
26	8.5	-12.07	-10.0	-19.13
26	9.5	-12.07	-10.0	-19.13
26	10.5	-12.06	-10.0	-19.13
26	11.5	-12.06	-10.0	-19.13
26	12.5	-12.06	-10.0	-19.13
26	13.5	-12.05	-10.0	-19.13
26	14.5	-12.05	-10.0	-19.13
26	15.5	-12.04	-10.0	-19.13
26	16.5	-12.04	-10.0	-19.13
26	17.5	-12.03	-10.0	-19.13
26	18.5	-12.03	-10.0	-19.12
26	19.5	-12.02	-10.0	-19.12
26	20.5	-12.02	-10.0	-19.12
26	21.5	-12.01	-10.0	-19.12
26	22.5	-12.01	-10.0	-19.12
26	23.5	-12.01	-10.0	-19.12
27	0.5	-12.00	-10.0	-19.12
27	1.5	-12.00	-10.0	-19.12
27	2.5	-11.99	-10.0	-19.12
27	3.5	-11.99	-10.0	-19.12
27	4.5	-11.98	-10.0	-19.11
27	5.5	-11.98	-10.0	-19.11
27	6.5	-11.97	-10.0	-19.11
27	7.5	-11.97	-10.0	-19.11
27	8.5	-11.97	-10.0	-19.11
27	9.5	-11.96	-10.0	-19.11
27	10.5	-11.96	-10.0	-19.11
27	11.5	-11.95	-10.0	-19.11
27	12.5	-11.95	-10.0	-19.11
27	13.5	-11.94	-10.0	-19.10
27	14.5	-11.94	-10.0	-19.10
27	15.5	-11.93	-10.0	-19.10
27	16.5	-11.93	-10.0	-19.10
27	17.5	-11.92	-10.0	-19.10
27	18.5	-11.92	-10.0	-19.10
27	19.5	-11.92	-10.0	-19.10
27	20.5	-11.91	-10.0	-19.10
27	21.5	-11.91	-10.0	-19.10
27	22.5	-11.90	-10.0	-19.10
27	23.5	-11.90	-10.0	-19.09
28	0.5	-11.89	-10.0	-19.09
28	1.5	-11.89	-10.0	-19.09
28	2.5	-11.88	-10.0	-19.09
28	3.5	-11.88	-10.0	-19.09
28	4.5	-11.88	-10.0	-19.09
28	5.5	-11.87	-10.0	-19.09
28	6.5	-11.87	-10.0	-19.09
28	7.5	-11.86	-10.0	-19.09
28	8.5	-11.86	-10.0	-19.08
28	9.5	-11.85	-10.0	-19.08
28	10.5	-11.85	-10.0	-19.08
28	11.5	-11.84	-10.0	-19.08
28	12.5	-11.84	-10.0	-19.08
28	13.5	-11.84	-10.0	-19.08
28	14.5	-11.83	-10.0	-19.08
28	15.5	-11.83	-10.0	-19.08
